,clust,Univ,SAT,Top10,Accept,SFRatio,Expenses,GradRate
0,1,Brown,1310,89,22,13,22704,94
1,2,CalTech,1415,100,25,6,63575,81
2,1,CMU,1260,62,59,9,25026,72
3,2,Columbia,1310,76,24,12,31510,88
4,1,Cornell,1280,83,33,13,21864,90
5,0,Dartmouth,1340,89,23,10,32162,95
6,0,Duke,1315,90,30,12,31585,95
7,0,Georgetown,1255,74,24,12,20126,92
8,2,Harvard,1400,91,14,11,39525,97
9,0,JohnsHopkins,1305,75,44,7,58691,87
10,2,MIT,1380,94,30,10,34870,91
11,2,Northwestern,1260,85,39,11,28052,89
12,0,NotreDame,1255,81,42,13,15122,94
13,2,PennState,1081,38,54,18,10185,80
14,2,Princeton,1375,91,14,8,30220,95
15,0,Purdue,1005,28,90,19,9066,69
16,1,Stanford,1360,90,20,12,36450,93
17,0,TexasA&M,1075,49,67,25,8704,67
18,0,UCBerkeley,1240,95,40,17,15140,78
19,2,UChicago,1290,75,50,13,38380,87
20,2,UMichigan,1180,65,68,16,15470,85
21,1,UPenn,1285,80,36,11,27553,90
22,2,UVA,1225,77,44,14,13349,92
23,1,UWisconsin,1085,40,69,15,11857,71
24,1,Yale,1375,95,19,11,43514,96
